,From,LP Score,LP Reward
0,0x0000000a5d2afc64886a80780bc5ca6ecc519181,41.5,30
1,0x0000000f3a9e446d0a6f976df5f0ed1b324dcd0e,41.5,30
2,0x00002b503a75998c97508916a74fdb41934fa030,50.5,30
3,0x0000ce08fa224696a819877070bf378e8b131acf,41.5,30
4,0x001401f33c772ee5df6b3d57ad6a042a947fd03c,37.0,30
5,0x0025500c6a6bcaebde159db6a307f4d38503a079,46.0,30
6,0x0026c9a5bfbee977ad03dcb4a95cfa715278e779,41.5,30
7,0x002c44e23e693b8bcd5c0e7dcd20114e85a3d89d,37.0,30
8,0x002c99b34be6d00db99c11fc14aaa6ea6d36962c,41.5,30
9,0x00350571ef908b5790bbff8ec3de63022355eb4c,41.5,30
10,0x0043b8708867866434a9d4032e85e2eead3e1bba,46.0,30
11,0x00b15c6bf6beaf95e7658bcf9cba66180c03b773,41.5,30
12,0x00c6a1a5f61558491bc8ceda03fdb4658513ccea,41.5,30
13,0x00e19b2cd2ee96f14d13adc12d68caf136990c30,37.0,30
14,0x00e3fda79dd9a8858eed392922c41f59ea947bfd,41.5,30
15,0x00ea6717cc4f996c1a577547bedcf46255c7bb4a,41.5,30
16,0x00fddf15962fd7a4381e83dc82645cf2a45db33d,41.5,30
17,0x0104db1cc2492cead7e7a9c93eea40b1be3db56b,37.0,30
18,0x0113df0486d293598837a778364c79bede118f3f,41.5,30
19,0x012cb630332bd1237db0ff121ab1466faebdbf25,37.0,30
20,0x015566197d36a8272e5d6aededf075ae9eb041e2,37.0,30
21,0x0172e05392aba65366c4dbbb70d958bbf43304e4,37.0,30
22,0x018361ab87160c898ca7bc3ca6876c0a7596816e,37.0,30
23,0x01b0927399c8ca623b7bfa29e926017b9eadc470,37.0,30
24,0x01c5c4ca74a665e40e96ed8ff221500b6366b8a6,46.0,30
25,0x01eda16f6a6c3b051ecc63b0d93c8c3a27491dc2,37.0,30
26,0x022c00c310c243e48d80d667937f3696962af343,37.0,30
27,0x025fedc5cf1f0a2317f991a0d43322f763d1c245,46.0,30
28,0x026d41f89df628b0eab57062893a60a07cdf8822,37.0,30
29,0x027c61bdcc5635ef625ee43e4837b95d8fc76079,41.5,30
30,0x02a7a2bc57cc52a7eff0395eb9c435b2820f7621,41.5,30
31,0x02b04fd27fb898e6face6df1888f72906b5ba11c,46.0,30
32,0x02fc861c4b8fd045ce9f58db34dba48b268275bb,50.5,30
33,0x032e9ea7e5ca19937c06cfa101b5bb1b55150910,37.0,30
34,0x033f68fd9df6bac726e6651e95ac399dbca3dc58,41.5,30
35,0x0351b0b81fdd1db5dad0617d97c598cd3c37baaf,41.5,30
