"Address","Name","Is delegator","Avatar","Space","Ens name","Follow Count","Follows Space","Total Votes","Proposal Interaction","Proposal Interaction In Space","Proposal Interaction outside of Space","Total NFT`s","Total Rewards NFT`s","User is delegator"
"0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4","","0","","aave.eth","aavechan.eth","7","1","33928250.818367","527","256","271","1","0","0"
"0xB83b3e9C8E3393889Afb272D354A7a3Bd1Fbcf5C","","0","","aave.eth","lbsblockchain.eth","1","1","14854885.260444","184","184","0","0","0","0"
"0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548","","0","","aave.eth","michiganblockchain.eth","2","1","7785688.0288266","151","96","55","0","0","0"
"0xB933AEe47C438f22DE0747D57fc239FE37878Dd1","","0","","aave.eth","wintermutegovernance.eth","17","1","6334190.7140974","307","151","156","23","0","0"
"0x55B16934C3661E1990939bC57322554d9B09f262","Llama Proposal Power","0","ipfs://bafkreidlvzco3qpbpwir5xmln4zygbyxtcfixnh2iyutbbpkjwac24wdja","aave.eth","","2","1","3722838.219577","57","57","0","0","0","0"
"0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E","","0","","aave.eth","","0","0","3126521.3000842","33","33","0","0","0","0"
"0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1","","0","","aave.eth","aave.standard-crypto.eth","1","1","3026690.389026","25","25","0","0","0","0"
"0xdD709cAE362972cb3B92DCeaD77127f7b8D58202","","0","","aave.eth","defimaximalist.eth","10","1","2827636.6445464","188","15","173","0","0","0"
"0xdC1F98682F4F8a5c6d54F345F448437b83f5E432","","0","","aave.eth","blockchaincolumbia.eth","10","1","2420742.8498136","66","29","37","0","0","0"
"0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499","","0","","aave.eth","","1","0","1255712.133748","181","12","169","0","0","0"
"0x16645967f660AC05EA542D3DE2f46E41b86436d9","Balancer. Delegate","0","ipfs://bafkreidzru3o365mw3bnpqw7ecxyxunfrmygnlxivsywodxhdtrys2o3ui","aave.eth","","3","1","1217324.66","72","72","0","0","0","0"
"0x732a4B05C31da514e30411d79E3E17624579B848","","0","","aave.eth","lucasvo.eth","0","0","1160674.591301","21","21","0","0","0","0"
"0xdd45542cCf17A16F5c515c20db7F7C7D8bB74Cc5","","0","","aave.eth","","0","0","1055247.7254175","18","18","0","0","0","0"
"0xea172676E4105e92Cc52DBf45fD93b274eC96676","","0","","aave.eth","stablelab.eth","15","1","875939.87710691","289","184","105","2","0","0"
"0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98","","0","","aave.eth","llamagov.eth","1","1","703655.02713277","41","35","6","0","0","0"
"0x683a4F9915D6216f73d6Df50151725036bD26C02","","0","","aave.eth","gauntletgov.eth","0","0","657985.86626308","22","13","9","0","0","0"
"0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2","","0","","aave.eth","","0","0","566586","4","4","0","0","0","0"
"0xd2362DbB5Aa708Bc454Ce5C3F11050C016764fA6","Delegate.GovernanceHouse","0","ipfs://bafkreihggih5ng3nhow7dx3yfhkomzknh4i4lgsg7qfccfrdfdfxxpeqtq","aave.eth","","2","1","544528.21422852","9","9","0","0","0","0"
"0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770","","0","","aave.eth","blockchainatucla.eth","1","1","508061.4589202","16","5","11","0","0","0"
"0xc4a936B003BC223DF757B35Ee52f6Da66B062935","","0","","aave.eth","","0","0","477777.40223198","5","5","0","0","0","0"
"0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f","","0","","aave.eth","","0","0","389095.04180808","6","5","1","0","0","0"
"0x511E3D32A4fc0E6CF736b6E92c2a546a86964709","","0","","aave.eth","","0","0","351173.54324298","6","6","0","0","0","0"
"0xb4F70F2F0f1A27276571a12e60c64E321f40d47C","","0","","aave.eth","","2","0","301937.26707101","21","5","16","0","0","0"
"0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c","","0","","aave.eth","","15","1","232099.9254388","8","3","5","0","0","0"
"0x1855f41B8A86e701E33199DE7C25d3e3830698ba","0xkeyrock.eth","0","ipfs://bafkreieerj6ku7ppfetywn5fnxlvc5f5xyivvewzgv5guk6jivp5b7xwb4","aave.eth","0xkeyrock.eth","7","1","234000","137","78","59","0","0","0"
"0xec51be70626d309522eF0b156cC02afCB407e7a8","","0","","aave.eth","","0","0","202893.0233898","4","4","0","0","0","0"
"0xE47988333650A9f91f83576BA5487b6CB5483d85","","0","","aave.eth","","0","0","201202.32313604","25","25","0","0","0","0"
"0x93A72B6cb640120CeABF3948506B16a96bbd45E0","","0","","aave.eth","","0","0","185320.86422948","23","23","0","0","0","0"
"0x36C4Bd54D54DD898C242F5F634f5D0CEf3bE2A8A","","0","","aave.eth","","0","0","178207.58992581","1","1","0","0","0","0"
"0x975779102B2A82384f872EE759801DB5204CE331","","0","","aave.eth","","7","1","174607.04837557","74","31","43","0","0","0"
"0x32B61Bb22Cbe4834bc3e73DcE85280037D944a4D","","0","","aave.eth","","0","0","161768.46440804","1","1","0","0","0","0"
"0x4Bf03635d42067CF86aaaF173F134765c30e40Fc","","0","","aave.eth","","0","0","161647.69977667","2","2","0","0","0","0"
"0x13873fa4B7771F3492825B00D1c37301fF41C348","","0","","aave.eth","","1","1","108509.46","1","1","0","0","0","0"
"0x1BEb1715899a355dfca4c763080E88F35286d025","","0","","aave.eth","","0","0","107554.87053088","12","8","4","0","0","0"
"0x0c940cDC24fd0142CDcB96B1d7A2F0B45dB8297b","","0","","aave.eth","","0","0","98253.154233212","1","1","0","0","0","0"
"0xFe238dB1dE2082bB9bA5dfC184B7e7C69C9bE636","","0","","aave.eth","","0","0","92481.627543527","2","2","0","0","0","0"
"0xfA610F8304909a90B1760cF8B50CC1fDe6Ea1F5c","","0","","aave.eth","zyxzyx0.eth","2","1","90192.261997318","91","76","15","0","0","0"
"0x458cEec48586a85fCFEb4A179706656eE321730E","","0","","aave.eth","","1","1","90000","37","9","28","0","0","0"
"0x7Ea90AF38397575A372e36bDc0F5970fB512FC7f","","0","","aave.eth","","0","0","90000","18","18","0","0","0","0"
"0xe87BB1D31e8b69A51ef38b5E73dFF2eFC32Fd309","","0","","aave.eth","greystroke.eth","10","1","87488.627278445","37","22","15","0","0","0"
"0x3A25e701517e713e99818a169A39339Fc3eAe9d2","","0","","aave.eth","","0","0","80650.216610449","22","22","0","0","0","0"
"0xd007058e9b58E74C33c6bF6fbCd38BaAB813cBB6","few","0","","aave.eth","few.com","18","1","80645.681870534","45","5","40","1","0","0"
"0x8dCF48FB8BC7FDDA5A3106eDe9b7c69Fc2C7E751","","0","","aave.eth","","0","0","79762.716925189","4","3","1","0","0","0"
"0x1Cd2F1b4D411295B56c1396F468d3b898c97871D","","0","","aave.eth","","0","0","69347.109954627","21","21","0","0","0","0"
"0xFC56306fFbEc02757cA83DD21A31D68303095E0C","","0","","aave.eth","","0","0","65244.697495329","1","1","0","0","0","0"
"0xA3F09fCCe3E340E251e23263B15d89623564b233","","0","","aave.eth","","0","0","64773.274549878","1","1","0","0","0","0"
"0x0ab97008cad303a8C90ea630c282760284c19e93","","0","","aave.eth","","3","1","63542.253404391","77","59","18","0","0","0"
"0xbad1990c2967231BC9A4fA9562ea68e65dd2B25d","","0","","aave.eth","jpgdude.eth","0","0","52268.293297512","1","1","0","0","0","0"
"0xCFECdBF9B60B64B7baaa94C6933a6ab29C3828e8","","0","","aave.eth","","1","1","52114.449867931","2","2","0","0","0","0"
"0xF569914d4E46cBD6A91fDE6c8850a079604A271b","","0","","aave.eth","digits.eth","0","0","50649.724857104","58","43","15","0","0","0"
"0x9A76058aE7Fe26fdcc71dA1e7cAbf6Ba89667623","","0","","aave.eth","","1","1","50640.742700667","13","12","1","0","0","0"
"0xB7771f70633C7E54E61Dd38D01c26DA0e86bE1a5","","0","","aave.eth","chicagodao.eth","0","0","50000","5","5","0","0","0","0"
"0xa23F54e0BB57a6114D831c080823F5Fe2616CF98","","0","","aave.eth","","0","0","49306.515623544","57","1","56","0","0","0"
"0xF869842bDc723204a63547C1d293722E0F633CbF","","0","","aave.eth","","0","0","46681.646467081","5","3","2","0","0","0"
"0x4F96F50eDB37a19216d87693E5dB241e31bD3735","","0","","aave.eth","yummyinmytummy.eth","3","1","45407.005893856","12","6","6","1","0","0"
"0xB72eD8401892466Ea8aF528C1af1d0524bc5e105","","0","","aave.eth","gekko.eth","20","0","45363.787468118","279","83","196","50","0","0"
"0x50C114E2f3fA1DaFCfbE675b342f5868bf1727f0","","0","","aave.eth","","0","0","39836.34309093","2","2","0","0","0","0"
"0x47A127f496d001f187Ac65FC24852274Dc51D080","","0","","aave.eth","tipofeverest.eth","3","1","39779.231800942","4","4","0","0","0","0"
"0x3b454077AAf52fF3Baec9128194191b7796247ba","","0","","aave.eth","","1","0","39509.425160571","15","5","10","0","0","0"
"0xc9B9C075a66A56F46a6b7eB89d8B8A45fcDE8f4d","","0","","aave.eth","","0","0","33310.877214338","16","16","0","0","0","0"
"0x5Af25164a0f1207dB70727A2C447d6a7B44b89D0","","0","","aave.eth","","0","0","30799.045501154","11","11","0","0","0","0"
"0x82F9eA8D814A6eb335cFe17500CdcbB69c7EBbFE","","0","","aave.eth","umaru.eth","0","0","29711.763416737","31","11","20","1","0","0"
"0x6724F3FBb16F542401BfC42C464CE91b6C31001E","","0","","aave.eth","","0","0","29259.977478602","23","3","20","0","0","0"
"0x51A7EaD10340AF963C3124b026b86dd2807c2b1C","","0","","aave.eth","","2","1","29173.456234919","52","22","30","0","0","0"
"0xC2EdF07f6823506a386e82aa595a2B5EBB9BDCE6","","0","","aave.eth","linkparadigm.eth","5","1","28253.921439523","45","23","22","50","2","0"
"0xA06c2e5BB33cd6718b08EC9335081Cbba62861f7","TokenLogic","0","ipfs://bafkreibmuxbwfikxwowt6lwgrqvmjws4fwitr6s637avm7awcjecptezei","aave.eth","","1","1","32112.836132311","66","66","0","0","0","0"
"0xd3B156e702e7De1d5908ED36265d315680f5E1d2","","0","","aave.eth","zpple.eth","2","1","27810.754978072","181","179","2","0","0","0"
"0xaB262D7B21A667b8C5b23b14e25d75Be9AC6C3e2","","0","","aave.eth","sixflag.eth","0","0","25029.301364934","3","1","2","0","0","0"
"0x18116191D57c46e31667Cb1Ed8b010190E58BFce","","0","","aave.eth","","0","0","25000","1","1","0","0","0","0"
"0xE22dc7b37Bf7F08E9F53313564Ef023220918B32","","0","","aave.eth","","0","0","23890.199652377","1","1","0","0","0","0"
"0x5e4568C4D8343052a06EC8AAB1e124AF08B73248","","0","","aave.eth","lindstrom.eth","17","1","24067.00077792","722","194","528","6","0","0"
"0x4D26f0e78C154f8FDA7AcF6646246Fa135507017","","0","","aave.eth","","20","0","20806.86156181","74","40","34","1","0","0"
"0x7fADcC47b4d0D1333fFA4780e4E3846169a52f4e","","0","","aave.eth","","0","0","20143.344457506","20","20","0","0","0","0"
"0x347120F6d2e3142cacEd44Ad008708D80a4F9420","","0","","aave.eth","","1","0","20000","2","2","0","0","0","0"
"0x517deE8Ec1fA6Bb05a780a8e18CBe0D7A1772B63","","0","","aave.eth","","1","1","19678.690335627","1","1","0","0","0","0"
